Part Number,Manufacturer,Stock,Web active,Description,Process,Condition,Ebay Listing Link
0010-20441,Applied Materials ,1,ebay,"RF Match, Assy. 6 """,PVD,New,https://www.ebay.com/itm/Applied-Materials-0010-20441-RF-Match-PVD-6/232026906983?hash=item3605e1a167:g:QqkAAOSwENxXltys:rk:1:pf:0
0010-20697,Applied Materials ,1,ebay,"Dual Degas Driver, Assy. 200V",PVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-20697-Dual-Degas-Driver-Assy-200V-AMAT-PVD/332788864495?hash=item4d7bc315ef:g:xfQAAOSwsNBbi0Fx
0010-20697,Applied Materials ,1,ebay,"200V Dual Degas Driver, Assy.",PVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-20697-Dual-Degas-Driver-Assy-200V-Endura-PVD/332797197120?hash=item4d7c423b40:g:bWMAAOSw8H1bkwxl
0010-20764,Applied Materials ,1,ebay,"PVD Driver 200V, Assy.",PVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-20764-PVD-Driver-200V-Assy-AMAT-PVD/332816891988?hash=item4d7d6ec054:g:4XIAAOSwa6Jbp~ZW
0010-20768,Applied Materials ,1,ebay,"Magnet, Assy.  G-12 200 MM",PVD,New,
0010-21403,Applied Materials ,1,ebay,"Magnet, PVD",PVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-21403-Magnet-PVD-AMAT-PVD/232070064693?hash=item3608742a35:g:M5wAAOSwxg5Xyx48:rk:1:pf:0
0010-21678,Applied Materials ,1,ebay,"Shield, Assy. Vectra IMP TI ADV 101 150 mm",PVD,New,https://www.ebay.com/itm/Applied-Materials-0010-21678-Shield-Assy-Vectra-IMP-TI-ADV-101-Endura-PVD/331919132266?hash=item4d47ec066a:g:YNUAAOSwENxXlt4X
0010-21716,Appiled Materials ,1,ebay,Shield,PVD,New,https://www.ebay.com/itm/Applied-Materials-0010-21716-Shield-AMAT-PVD/331959415571?hash=item4d4a52b313:g:pbEAAOSwOdpXyy~O
0010-30001,Applied Materials ,1,ebay,"Degasser, Assy.",CVD,New,https://www.ebay.com/itm/Applied-Materials-0010-30001-Degasser-Assy-AMAT-CVD/232454166952?hash=item361f5919a8%3Ag%3AD4IAAOSwnllZk3Fk&_sacat=0&_nkw=0010-30001&_from=R40&rt=nc&_trksid=m570.l1313
0010-30059,Applied Materials,6,ebay,"Pedestal, 200 mm",Etch,New,
0010-30246,Applied Materials ,1,ebay,"Susceptor, Assy. 150 MM Non-Cntct SW Cheese DCS",CVD,New,https://www.ebay.com/itm/Applied-Materials-0010-30246-Susceptor-Assy-150-MM-SW-Cheese-DCS-AMAT/331919132402?hash=item4d47ec06f2:g:eDkAAOSwYIxX7Acy:rk:2:pf:0
0010-30318,Applied Materials ,1,ebay,"Lid, Etch SSGD B/C",Etch,New,https://www.ebay.com/itm/Applied-Materials-0010-30318-Lid-Etch-SSGD-B-C-AMAT-MXP-Etch/331984782154?hash=item4d4bd5c34a:g:d54AAOSw4shX6~h8:rk:1:pf:0
0010-30320,Applied Materials ,1,ebay,"Hinge, Assy. R2 ",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-30320-Hinge-Assy-R2-AMAT-Etch/232049056224?hash=item36073399e0:g:5TUAAOSwU-pXsVao
0010-30366,Applied Materials ,1,ebay,"ASSY,SMALL TOWER",Etch,New,
0010-30402,Applied Materials ,1,ebay,"Drive Assy.,Throttle  Valve, Direct  Drive",CVD,New,https://www.ebay.com/itm/Applied-Materials-0010-30402-Drive-Assy-Throttle-Valve-Direct-Drive-AMAT-CVD/331926951109?hash=item4d486354c5:g:7Y0AAOSwbsBXoT~Y
0010-35492,Applied Materials ,1,ebay,Delta Lamp Module DCS,CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-35492-Lamp-Module-Delta-DCS-AU-AMAT-Centura/331919105454?hash=item4d47eb9dae:g:XNEAAOSwaB5XltDH
0010-35502,Applied Materials ,1,ebay,"RF Match, Assy. W/peak Detector, SC/ESC",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-35502-RF-Match-Assy-W-peak-Detector/232097554357?hash=item360a179fb5:g:yRoAAOSwAuZX7ACU:rk:1:pf:0
0010-35560,Applied Materials ,1,ebay,"Hose, Assy SS Amat-1 Heat Exchanger",Other Items,New,https://www.ebay.com/itm/Applied-Materials-0010-35560-Hose-Assy-AMAT-1-Heat-Exchanger-AMAT/232026910234?hash=item3605e1ae1a:g:SKgAAOSw0fhXlt4x:rk:1:pf:0
0010-36162,Applied Materials ,1,ebay,"RF Match, Etch Mxp+",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-36162-RF-Match-Assy-Etch-Mxp/232180023524?hash=item360f0200e4:g:S80AAOSwo4pYWHlf:rk:2:pf:0
0010-36388,Applied Materials ,1,ebay,"Lamp Module, Assy. DTCU DPS Poly",DPS,New,https://www.ebay.com/itm/Applied-Materials-0010-36388-Lamp-Module-Assy-DTCU-DPS-Poly-AMAT/331919132525?hash=item4d47ec076d:g:VDcAAOSwRgJXlt47
0010-36413,Applied Materials ,1,ebay,"ASSY,TOOL,LIFTING,UPPER CHAMBER",Other Items,Used,https://www.ebay.com/itm/Applied-Materials-0010-36413-ASSY-TOOL-LIFTING-UPPER-CHAMBER-AMAT-DPS/232080337505?hash=item360910ea61:g:jAYAAOSwGtRX1wDR:rk:1:pf:0
0010-36617,Applied Materials ,1,ebay,"RF Feedthrough, Assy.",DPS,New,https://www.ebay.com/itm/Applied-Materials-0010-36617-RF-Feedthru-Assy-DTCU-DPS-Poly-AMAT/232026910342?hash=item3605e1ae86:g:SfEAAOSw0fhXlt5F:rk:3:pf:0
0010-37167,Applied Materials,1,ebay,"HV Filter, Assy.  Centura 5200 DPS",DPS,Used,https://www.ebay.com/itm/Applied-Materials-0010-37167-HV-Filter-Assy-Centura-5200-DPS/232026883416?hash=item3605e14558:g:dd8AAOSw-YVXltNH
0010-37899,Applied Materials ,1,ebay,"Recess Etch, Assy. 2.75 Window, DPS ",DPS,New,
0010-38188,Appiled Materials ,1,ebay,"Pumping Port Liner, Assy. w/Endpoint",Other Items,New,https://www.ebay.com/itm/Applied-Materials-0010-38188-Pumping-Port-Liner-Assy-w-Endpoint-AMAT/232026910409?hash=item3605e1aec9:g:Rr4AAOSwdzVXlt5N
0010-38823,Appiled Materials ,1,ebay,"Valve, Slit Actuator Chemraz",Other Items,New,https://www.ebay.com/itm/Applied-Materials-0010-38823-VAT-Valve-0300X-CA24-All1-38/232028495632?hash=item3605f9df10:g:Bn0AAOSwbsBXmGao
0010-60013,Applied Materials ,5,ebay,"Susceptor, BWCVD 125 MM",CVD,New,https://www.ebay.com/itm/Applied-Materials-0010-60013-Susceptor-125-MM-BWCVD-CVD/232027785551?hash=item3605ef094f:g:EOMAAOSwmfhX7AgV:rk:1:pf:0
0010-60019,Applied Materials,1,ebay,"Susceptor, Shdw. Ring 100 mm",CVD,New ,
0010-70001,Appiled Materials ,1,ebay,"Cassette Handler, Assy. Bottom",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-70001-Cassette-Handler-AMAT-P-5000-Mark-II/331919113893?hash=item4d47ebbea5:g:z3EAAOSw0RpXltSL
0010-70001,Applied Materials ,1,ebay,"Cassette Handler, Assy. Bottom",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-70001-Cassette-Handler-AMAT-P-5000-Mark-II/331919113893?hash=item4d47ebbea5:g:z3EAAOSw0RpXltSL:rk:2:pf:0
0010-70078,Applied Materials ,3,ebay,"Tray, 200 MM 29  Position Storage Elevator",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-70078-Tray-Assy-200-MM-29-Slot-AMAT/232026885126?hash=item3605e14c06:g:nmMAAOSwaB5XltPe
0010-70094,Applied Materials,1,ebay,"AC Box , Assy  P-5000",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-70094-AC-Box-Assy-P-5000/232072610127?hash=item36089b014f:g:Q70AAOSwFe5XzgJ2
0010-70279,Applied Materials ,1,ebay,"Facility Panel, Assy. Upper CVD",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-70279-Facility-Panel-Assy-Upper-CVD-AMAT-Precision-5000/232026884928?hash=item3605e14b40:g:m8QAAOSwbsBXltPD:rk:1:pf:0
0010-70321,,1,ebay,"Slit Valve, Assy. (lot of 4)",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-70321-Slit-Valve-Assy-Precision-500-Mark-II-Lot-of-4/331919112341?hash=item4d47ebb895%3Ag%3AfkYAAOSw-YVXltO5&_sacat=0&_nkw=Slit+Valve%2C+Assy.+%28lot+of+4%29&_from=R40&rt=nc&LH_TitleDesc=0
0010-70409,Applied Materials ,2,ebay,"Optic, Assy 15 Slot Storage Elevator",Other Items,New,https://www.ebay.com/itm/Applied-Materials-0010-70409-Optic-Assy-15-Slot-Storage-Elevator-AMAT-P-5000/232179848651?hash=item360eff55cb:g:W-QAAOSw-0xYWD~p
0010-70415,Appiled Materials ,1,ebay ,Pneumatic Logic Box,5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-70415-Pneumatic-Logic-Box-AMAT-Precision-5000/331959390750?hash=item4d4a52521e:g:XOQAAOSwdIFXyycP
0010-70614,Applied Materials ,1,ebay,"Door, Slit Valve, Metal Etch,Viton",5000,New,
0010-75173,Applied Materials ,1,ebay,"ASSY, SLIT VALVE DOOR",Other Items,New,
0010-75174,Applied Materials ,1,ebay,"Door, Slit Valve Anodized",Other Items,New,
0010-76000,Appiled Materials ,1,ebay,"Robot, Phase III ",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-76000-Robot-Phase-III-AMAT-Precision-5000/232070157372?hash=item360875943c:g:nQgAAOSw8oFXyzmI
0010-76019,Applied Materials ,2,ebay,"Cassette Handler, Top 200 MM",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-76019-Cassette-Handler-Top-200-MM-AMAT-P-5000/232179848812?hash=item360eff566c:g:Sa4AAOSw5cNYWD~7:rk:1:pf:0
0010-76035,Applied Materials ,1,ebay,"Assy, N2 Dry Vac Enclosure",PCB's,New,
0010-76036,Applied Materials ,1,ebay,"Mini Controller, Assy. W/Teos Option Version",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-76036-Mini-Controller-Assy-W-Teos-Option/331919112238?hash=item4d47ebb82e:g:uSkAAOSw0RpXltOg:rk:8:pf:0
0010-76136,Applied Materials ,1,ebay,"ASSY, WAFER LIFT HTHU HEATER",PVD,New,https://www.ebay.com/itm/Applied-Materials-0010-76136-ASSY-WAFER-LIFT-HTHU-HEATER-AMAT-PVD/232049056340?hash=item3607339a54:g:5lMAAOSwHoFXsVa8
0010-76173W,Applied Materials ,1,ebay,"Throttle Valve, Assy. Upstream, Nitride",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-76173W-Throttle-Valve-Assy-Upstream-Nitride-AMAT-CVD/332068570909?hash=item4d50d4471d:g:gHYAAOSwImRYWgSm
0010-76270,Applied Materials ,1,ebay,"Robot Blade, 150 MM JMF HTHU",Endura,New,https://www.ebay.com/itm/Applied-Materials-0010-76270-Robot-Blade-150-MM-JMF-HTHU-AMAT-Endura/232449726500?hash=item361f155824:g:u7sAAOSwVEVZk2iC:rk:1:pf:0
0010-76306,Applied Materials ,1,ebay,"Bearing, Assy. Sputter",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-76306-Bearing-Assy-Sputter-AMAT-Etch/332715225264?hash=item4d775f70b0%3Ag%3Agh8AAOSwqVVbQ%7ET5&_sacat=0&_nkw=0010-76306&_from=R40&rt=nc&_trksid=m570.l1313
0010-76404,Applied Materials ,1,ebay,"TUNGSTEN DCS SLIT VALVE, ASSY.  ",Other Items,New,https://www.ebay.com/itm/Applied-Materials-0010-76404-TUNGSTEN-DCS-SLIT-VALVE-ASSY/232097523857?hash=item360a172891:g:3xsAAOSwLF1X6~iO
0010-76409,Applied Materials ,3,ebay,"Slit Door, ",RTP,New,https://www.ebay.com/itm/Applied-Materials-0010-76409-Slit-Door-Assy-RTP-AMAT-Centura/331920049626?hash=item4d47fa05da:g:~PMAAOSwtnpXmAYs
0010-76543,Applied Materials,1,ebay,"Heat Exchanger, AMAT-1  ",Other Items,Used,https://www.ebay.com/itm/Applied-Materials-0010-76543-Heat-Exchanger-AMAT-1-208V/331919113823?epid=1301674079&hash=item4d47ebbe5f:g:zkEAAOSw0RpXltSB
0010-76994,Applied Materials ,2,ebay,"Door, Slit Valve SHO",Etch,New,https://www.ebay.com/itm/Applied-Materials-0010-76994-Door-Slit-Valve-SHO-AMAT-Centura/332067323835?epid=5014039350&hash=item4d50c13fbb:g:D5MAAOSwZQRYWElN
0015-09204,Applied Materials ,1,ebay,"Valve, Modification",Other Items,New,
0015-09424,Applied Materials ,64,ebay,"Gear, Spur, Pin Hub, Throttle Valve",CVD,New,
0020-00730,Applied Materials,2,ebay,Geneva Wheel,8300,New,
0020-03398,Applied Materials ,1,ebay,Insulation Pipe,Etch,New,https://www.ebay.com/itm/Applied-Materials-0020-03398-Insulation-Pipe-AMAT-Etch/232028148236?hash=item3605f4920c%3Ag%3A%7ElUAAOSwbsBXmAZy&_sacat=0&_nkw=0020-03398&_from=R40&rt=nc&_trksid=m570.l1313
0020-03552,Applied Materials ,1,ebay,"Body, Throttle Valve",Etch,New,https://www.ebay.com/itm/Applied-Materials-0020-03552-Body-Throttle-Valve-AMAT/332925718381?hash=item4d83eb4f6d:g:jtkAAOSwwFNcBwNy
0020-03552,Applied Materials ,2,ebay,"Body, Throttle Valve",Etch,New,https://www.ebay.com/itm/Applied-Materials-0020-03552-Body-Throttle-Valve-AMAT-Etch/332455352329?hash=item4d67e21809:g:HRQAAOSwPIhaEdy-
0020-04058,Applied Materials ,3,ebay,"Ring Pedestal, 200 mm Ox",Other Items,New,https://www.ebay.com/itm/Applied-Materials-0020-04058-Ring-Pedestal-200-MM-Ox/331919808883?hash=item4d47f65973:g:7usAAOSwENxXl7Fb:rk:1:pf:0
0020-04189,Applied Materials ,1,ebay,"Adapter Top, Mark II Chamber",Etch,New,
0020-04189,Applied Materials ,5,ebay,"Adapter Top, Mark II Chamber",Etch,New,https://www.ebay.com/itm/Applied-Materials-0020-04189-Adaptor-Top-Mark-II-Etch-Chamber-AMAT/232028148283?hash=item3605f4923b:g:FWcAAOSwSv1XmAZ2:rk:1:pf:0
0020-06998,Applied Materials ,5287,ebay,"Button, Wafer",8300,New,
0020-09131,Applied Materials ,1,ebay,"Door, I/O Slit",5000,New,
0020-09913,Applied Materials,1,ebay,Pedestal,Etch,New,
0020-10202,Applied Materials ,2,ebay,"Door, Chamber Slit",5000,New,https://www.ebay.com/itm/Applied-Materials-0020-10202-Door-Chamber-Slit-AMAT-Precision-5000/232031844587?hash=item36062cf8eb:g:~4IAAOSw-YVXm7V2
0020-10204,Applied Materials ,3,ebay,"Susceptor, Plate 200 MM",CVD,New,https://www.ebay.com/itm/Applied-Materials-0020-10204-Susceptor-Plate-200-MM-AMAT-CVD/233078478453?epid=22015087949&hash=item36448f5675:g:CSIAAOSwGWJcLQre
0020-19001,Applied Materials ,2,ebay,"Spacer, Slit Valve  SHO",Centura,New,https://www.ebay.com/itm/Applied-Materials-0020-19001-Spacer-Slit-Valve-SHO-AMAT-Centura/232449726019?hash=item361f155643:g:kswAAOSwT2JZk2hb
0020-19707,Applied Materials ,1,ebay,Deposition Ring,Other Items,Used,https://www.ebay.com/itm/Applied-Materials-0020-19707-Deposition-Ring-AMAT-PVD/331922004352?hash=item4d4817d980:g:NXEAAOSwqfNXmlRg
0020-20323,Applied Materials ,1,ebay,"Chuck, 8""",Other Items,New,https://www.ebay.com/itm/Applied-Materials-0020-20323-Chuck-8-AMAT/232028148350?hash=item3605f4927e:g:FjcAAOSwSv1XmAZ9:rk:1:pf:0
0020-20430,Applied Materials ,3,ebay,"Columator, 8""  ",PVD,Used,https://www.ebay.com/itm/Applied-Materials-0020-20430-Columator-8-AMAT-PVD/232998646925?hash=item363fcd348d:g:DxoAAOSwD~Fb5ORP
0020-20579,Applied Materials,1,ebay,Extention Arm DC Bias,PVD,New,
0020-20580,Applied Materials ,1,ebay,Post DC Bias,PVD,New,
0020-20586,Applied Materials,1,ebay,"Insert, Preclean Mod.",PVD,New,
0020-20654,Applied Materials ,1,ebay,"Collimator, PVD Degas   ",PVD,Used,https://www.ebay.com/itm/Applied-Materials-0020-20654-Collimator-PVD-Degas-Endura-5500/331919113718?hash=item4d47ebbdf6:g:VzkAAOSwIgNXltR1:rk:2:pf:0
0020-20862,Applied Materials ,1,ebay,"PLATE 6"" CCD VACUUM SEAL",PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-20862-PLATE-6-CCD-VACUUM-SEAL-AMAT-PVD/331961557771?hash=item4d4a73630b%3Ag%3AEbkAAOSwknJXzg8H&_sacat=0&_nkw=0020-20862&_from=R40&rt=nc&_trksid=m570.l1313
0020-20986,Applied Materials ,5,ebay,"Shield, Pedestal",PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-20986-Shield-Pedestal-AMAT-PVD/232028148454?hash=item3605f492e6:g:bh0AAOSweXhXmAaF:rk:1:pf:0
0020-21704,Applied Materials ,1,ebay,"Chuck, Orientor 125 MM  ",PVD,New,
0020-21748,Applied Materials ,1,ebay,"Hoop, 5"" & 6"" Preclean",PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-21748-Hoop-5-6-Preclean-AMAT-PVD/233085071876?hash=item3644f3f204:g:rVwAAOSw~BRcM7ob
0020-21754,Applied Materials ,2,ebay,"Pocket Plate, 150 MM",PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-21754-Pocket-Plate-150-MM-AMAT-PVD/332757194044?hash=item4d79dfd53c:g:8YMAAOSwSoVbbPnd
0020-21754,Applied Materials ,1,ebay,"Pocket Plate, 150 mm",PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-21754-Pocket-Plate-150-MM-AMAT-Endura/332757207986?hash=item4d79e00bb2:g:yi8AAOSwofdbbPwm
0020-21755,Applied Materials ,2,ebay,"Clamp Ring, 150 MM",PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-21755-Clamp-Ring-150-MM-AMAT-PVD/331959390896?hash=item4d4a5252b0:g:XqUAAOSwdIFXyyce
0020-22196,Applied Materials ,3,ebay,"Pedestal, 8""",PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-22196-Pedestal-8-AMAT-PVD/233052627219?hash=item364304e113:g:3n4AAOSwxkFcGBGv
0020-22476,Applied Materials ,1,ebay,"Susceptor, 125 MM MAC",PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-22476-Susceptor-125-MM-MAC-AMAT-PVD/232028148938?hash=item3605f494ca:g:DrsAAOSwtnpXmAbG
0020-23065,Applied Materials ,3,ebay,"Pedestal, 150 MM TIN 101%",PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-23065-Pedestal-150-MM-TIN-101-AMAT-PVD/232028148992?hash=item3605f49500:g:1-sAAOSwTZ1XmAbL
0020-23075,Applied Materials,1,ebay,"Shield, Upper",PVD,New,
0020-23180,Applied Materials ,1,ebay,"PEDESTAL, AL, 6"" 101% TIW",PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-23180-PEDESTAL-AL-6-101-TIW-AMAT-PVD/332960905178?hash=item4d860437da:g:QtYAAOSwqnVcGB8C
0020-23354,Applied Materials ,1,ebay,"Insulator, Quartz",PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-23354-Insulator-Quartz-PVD-AMAT/331919826894?hash=item4d47f69fce:g:SGgAAOSwSv1Xl7LJ
0020-23355,Applied Materials ,1,ebay,PC II PEDESTAL,PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-23355-PC-II-PEDESTAL-AMAT/332960988390?hash=item4d86057ce6:g:Ti4AAOSw1QNcGCxb
0020-23355,Applied Materials ,16,ebay,PC II PEDESTAL,PVD,New,
0020-23494,Applied Materials ,1,ebay,Honey Comb Collimator,PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-23494-Honey-Comb-Collimator-AMAT-PVD/331920022437?hash=item4d47f99ba5:g:mWcAAOSwTZ1Xl~q5:rk:1:pf:0
0020-24386,Appiled Materials ,18,ebay,"Cover, 150 mm",PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-24386-Cover-Ring-150-MM-AMAT-PVD/232028109772?hash=item3605f3fbcc:g:3J8AAOSwENxXl~rH
0020-24387,Applied Materials ,1,ebay,"Pedestal, 150 MM",PVD,New,https://www.ebay.com/itm/Applied-Materials-0020-24387-Pedestal-150-MM-AMAT-PVD/332878063016?hash=item4d811425a8:g:rlAAAOSwOIlb6L1X
0020-25071,Applied Materials,1,ebay,Clamp Ring,PVD,New,
0020-25257,Applied Materials ,1,ebay,Insulator Qtz,PVD,New,
